n_fire_pixels,mean_temp_fire,max_temp_fire,mean_power_fire,sum_power_fire,mean_area_fire,sum_area_fire,time_coverage_start,time_coverage_end,mean_confidence,max_confidence
68.0,576.7812,790.69525,260.01846,5200.369,92573.23,1.3909494e+06,2025-01-01T15:10:20.854540032,2025-01-01T15:19:51.658615040,0.78,1.0
63.0,547.03394,842.97095,236.80467,5209.703,90335.164,1.6299169e+06,2025-01-01T15:20:20.854783104,2025-01-01T15:29:51.653815040,0.77,1.0
34.0,558.8563,765.6876,255.63809,5368.4004,96451.38,1.5432528e+06,2025-01-01T15:30:20.855026048,2025-01-01T15:39:51.659811072,0.67,1.0
37.0,556.95557,797.16736,242.4062,5332.936,99213.76,1.9870885e+06,2025-01-01T15:40:20.857046016,2025-01-01T15:49:51.657755008,0.74,1.0
45.0,557.7727,724.4842,233.71634,5842.908,97023.49,1.7464499e+06,2025-01-01T15:50:20.857235968,2025-01-01T15:59:51.661000064,0.64,1.0
41.0,577.24225,857.52136,225.38477,5409.2344,100745.305,2.0198348e+06,2025-01-01T16:00:20.857425024,2025-01-01T16:09:51.666179968,0.75,1.0
43.0,563.2815,921.9757,221.21509,6194.023,79406.17,1.9851966e+06,2025-01-01T16:10:20.859419008,2025-01-01T16:19:51.662310016,0.75,1.0
47.0,536.4596,873.23224,236.15852,5195.4873,141113.23,2.8250755e+06,2025-01-01T16:20:20.859611008,2025-01-01T16:29:51.659495040,0.7,1.0
54.0,523.7017,854.2638,234.228,5621.472,138631.53,2.7726935e+06,2025-01-01T16:30:20.861608064,2025-01-01T16:39:51.661494016,0.75,1.0
73.0,530.04803,913.7247,175.00415,5250.125,112234.39,3.145633e+06,2025-01-01T16:40:20.861801984,2025-01-01T16:49:51.669267072,0.78,1.0
62.0,544.9743,980.9646,174.73239,6115.634,95662.04,2.9709732e+06,2025-01-01T16:50:20.861997056,2025-01-01T16:59:51.661833984,0.73,1.0
86.0,538.39496,1148.9359,179.19458,6451.0054,88072.85,2.733578e+06,2025-01-01T17:00:20.863993984,2025-01-01T17:09:51.665454080,0.8,1.0
90.0,544.63794,1612.4128,162.4006,5196.8193,111504.91,2.9012992e+06,2025-01-01T17:10:20.864184960,2025-01-01T17:19:51.674823040,0.81,1.0
101.0,590.1641,1356.2653,146.48085,5712.7534,73676.75,2.7367838e+06,2025-01-01T17:20:20.864370944,2025-01-01T17:29:51.664622976,0.8,1.0
94.0,489.69067,813.4184,44.87012,1839.6748,89932.75,3.062211e+06,2025-01-01T17:30:20.866328960,2025-01-01T17:39:51.665160960,0.77,1.0
77.0,498.23886,780.64075,32.73884,1014.90393,66558.23,1.7339345e+06,2025-01-01T17:40:20.866454016,2025-01-01T17:49:51.669846016,0.82,1.0
90.0,523.55853,805.3279,39.528233,1462.5447,53954.008,1.6752701e+06,2025-01-01T17:50:20.866572032,2025-01-01T17:59:51.669594112,0.8,1.0
81.0,518.3979,782.675,35.014797,1295.5476,56670.504,1.7588736e+06,2025-01-01T18:00:20.639472000,2025-01-01T18:09:51.441617024,0.75,1.0
73.0,521.29706,1289.4285,53.931705,1941.5413,66749.98,1.9358261e+06,2025-01-01T18:10:20.639577088,2025-01-01T18:19:51.445913984,0.73,1.0
84.0,557.2932,1243.0795,118.48892,5568.979,49989.918,2.154216e+06,2025-01-01T18:20:20.641479936,2025-01-01T18:29:51.444766976,0.75,1.0
94.0,549.9701,1363.5458,102.47179,5431.004,67521.27,3.0433768e+06,2025-01-01T18:30:20.641569920,2025-01-01T18:39:51.444039040,0.71,1.0
93.0,587.68317,1732.5894,128.24854,5514.6865,65883.586,2.5762962e+06,2025-01-01T18:40:20.643453056,2025-01-01T18:49:51.446033024,0.72,1.0
97.0,556.73315,1251.3154,100.58963,5934.7886,48704.84,2.5912565e+06,2025-01-01T18:50:20.643520896,2025-01-01T18:59:51.455306112,0.7,1.0
87.0,558.2209,1117.831,109.74769,5926.3755,50842.93,2.3955372e+06,2025-01-01T19:00:20.643579008,2025-01-01T19:09:51.445198976,0.67,1.0
87.0,580.8354,1214.7427,92.8817,4458.322,40258.406,1.6183976e+06,2025-01-01T19:10:20.645426944,2025-01-01T19:19:51.448518016,0.74,1.0
74.0,581.0542,1562.7378,104.27679,5318.116,47687.98,2.1506905e+06,2025-01-01T19:20:20.645459968,2025-01-01T19:29:51.447095936,0.66,1.0
71.0,623.5258,1268.2775,117.04515,5267.0317,41324.7,1.457168e+06,2025-01-01T19:30:20.645480064,2025-01-01T19:39:51.447170048,0.68,1.0
79.0,625.18195,1827.9719,80.75593,4037.7966,39779.996,1.7260144e+06,2025-01-01T19:40:20.647291008,2025-01-01T19:49:51.445355008,0.73,1.0
70.0,611.20966,1055.3522,106.97223,5027.695,30569.959,1.107606e+06,2025-01-01T19:50:20.647287936,2025-01-01T19:59:51.451470080,0.7,1.0
56.0,643.4717,1524.7957,124.95397,4873.205,26802.102,866406.75,2025-01-01T20:00:20.647272960,2025-01-01T20:09:51.455579008,0.66,1.0
63.0,586.3387,947.7862,136.72906,6426.265,39774.703,1.3969806e+06,2025-01-01T20:10:20.649051008,2025-01-01T20:19:51.450605056,0.66,1.0
56.0,657.38324,1217.5973,141.76315,6521.1055,31084.041,1.043712e+06,2025-01-01T20:20:20.649018112,2025-01-01T20:29:51.453554048,0.62,1.0
62.0,660.94586,1543.1604,123.20596,6160.298,23349.023,837367.3,2025-01-01T20:30:20.648978048,2025-01-01T20:39:51.451521024,0.58,1.0
68.0,573.8457,1071.8243,114.09956,6275.4756,41696.05,1.8880498e+06,2025-01-01T20:40:20.650736000,2025-01-01T20:49:51.456936064,0.61,1.0
60.0,598.873,914.9275,144.80116,6371.251,33542.965,1.1212786e+06,2025-01-01T20:50:20.650686080,2025-01-01T20:59:51.451500032,0.62,1.0
58.0,626.4872,1118.7252,146.68753,6600.9385,31818.49,1.03276025e+06,2025-01-01T21:00:20.652435968,2025-01-01T21:09:51.455674112,0.64,1.0
